Distance (m),Slope (deg)
0,2.289865971
10,2.168311358
20,2.168311358
30,2.168311358
40,1.753602624
50,0.850825429
60,1.276120901
70,1.701275706
80,1.701275706
90,1.701275706
100,1.701275706
110,2.168311358
120,2.688802481
130,1.753651381
140,1.345139503
150,2.47919488
160,2.289865971
170,2.126243353
180,2.405260563
190,2.405260563
200,2.405260563
210,2.405260563
220,1.203160405
230,1.203160405
240,1.804409146
250,1.533593774
260,1.901944399
270,0.951234221
280,0.951234221
290,2.126243353
300,1.203160405
310,0
320,0
330,0.951268792
340,1.345173597
350,1.345173597
360,1.345173597
370,1.203204036
380,1.345173597
390,1.345173597
400,1.345173597
410,1.345173597
420,1.53363657
430,1.345173597
440,1.753651381
450,1.90197885
460,1.753617644
470,1.701275706
480,1.701275706
490,1.701275706
500,1.276120901
510,0.850825429
520,2.168311358
530,2.168311358
540,1.753602624
550,0.951234221
560,0.425436169
570,1.345124841
580,1.901944399
590,0.951234221
600,0
610,1.203160405
620,1.901944399
630,1.901944399
640,1.901944399
650,1.345124841
660,0
670,1.203160405
680,1.345124841
690,1.345124841
700,1.901944399
710,1.203160405
720,0
730,0
740,1.345124841
750,0.951234221
760,1.203204036
770,1.203204036
780,0.951268792
790,0
800,0.951234221
810,1.345124841
820,0.850825429
830,1.345124841
840,0.425436169
850,1.203160405
860,1.203160405
870,0
880,0.951234221
890,1.753602624
900,1.753602624
910,0.951234221
920,0.951234221
930,1.345124841
940,1.533593774
950,1.203160405
960,1.203160405
970,1.203160405
980,0
990,1.203160405
1000,1.203160405
1010,1.203160405
1020,2.405260563
1030,1.203160405
1040,0
1050,0
1060,1.203160405
1070,1.203160405
1080,1.203160405
1090,1.203160405
1100,0
1110,0.425451607
1120,1.345173597
1130,0.951268792
1140,1.203160405
1150,0.951234221
1160,0.951234221
1170,0.951234221
1180,1.203160405
1190,0
1200,0
1210,0.951234221
1220,1.345124841
1230,1.345124841
1240,1.901944399
1250,1.345124841
1260,0
1270,0
1280,0.425436169
1290,1.276120901
1300,0.850825429
1310,1.276120901
1320,1.276120901
1330,0
1340,1.276120901
1350,0.425436169
1360,0.425436169
1370,1.345124841
1380,0.425436169
1390,0.425436169
1400,1.345124841
1410,0.425436169
1420,0
1430,1.203160405
1440,1.345124841
1450,2.126243353
1460,2.47919488
1470,1.901944399
1480,2.405304194
1490,2.289914608
1500,1.75363636
1510,3.42595005
1520,2.550976992
1530,1.753602624
1540,2.586117029
1550,2.97543025
1560,1.701275706
1570,0.425436169
1580,1.276120901
1590,1.701275706
1600,1.276120901
1610,0.425436169
1620,1.276120901
1630,1.753602624
1640,1.345124841
1650,1.533593774
1660,1.533593774
1670,1.345124841
1680,1.203160405
1690,0
1700,0
1710,0
1720,0
1730,0
1740,0
1750,0
1760,1.203160405
1770,1.203160405
1780,1.203160405
1790,1.203160405
1800,1.203160405
1810,0
1820,0
1830,1.276120901
1840,0.951234221
1850,0
1860,0
1870,0
1880,1.203160405
1890,1.276120901
1900,0.425436169
1910,0
1920,1.345173597
1930,0.951268792
1940,0
1950,0.951234221
1960,0.951234221
1970,1.203160405
1980,0
1990,0
2000,0.425436169
2010,0.951234221
2020,0.951234221
2030,0
2040,0
2050,0
2060,0
2070,0.951234221
2080,1.203160405
2090,0
2100,0
2110,0
2120,0.425436169
2130,1.276120901
2140,0.425436169
2150,0
2160,0
2170,0
2180,0.425436169
2190,0.951234221
2200,1.345124841
2210,1.345124841
2220,1.203160405
2230,0.951234221
2240,0
2250,0
2260,0
2270,0
2280,0
2290,1.203160405
2300,1.203160405
2310,0.601646543
2320,0.425436169
2330,1.203160405
2340,1.203160405
2350,0.951234221
2360,0.425436169
2370,1.276120901
2380,1.276120901
2390,1.276120901
2400,1.276120901
2410,1.345124841
2420,1.203160405
2430,1.203160405
2440,0.425436169
2450,0
2460,0
2470,0
2480,0
2490,0
2500,0
2510,0.425436169
2520,0.951234221
2530,1.203160405
2540,0
2550,0
2560,1.203160405
2570,1.203160405
2580,1.203160405
2590,0
2600,1.345124841
2610,0.425436169
2620,0.425436169
2630,0
2640,0
2650,0
2660,0
2670,0
2680,0
2690,0.425436169
2700,1.345124841
2710,1.203160405
2720,0.95124805
2730,0.951268792
2740,0.951268792
2750,1.345173597
2760,1.203204036
2770,0
2780,0
2790,0
2800,0
2810,0
2820,0
2830,0
2840,0.601646543
2850,0.951234221
2860,1.345124841
2870,0
2880,0
2890,0.425436169
2900,0.601646543
2910,1.345124841
2920,1.203171372
2930,1.345173597
2940,1.345173597
2950,0
2960,1.203160405
2970,1.203160405
2980,0
2990,0
3000,0
3010,0
3020,1.203160405
3030,1.203160405
3040,1.203160405
3050,0.601668358
3060,1.345139503
3070,1.345158935
3080,0.425436169
3090,0.951234221
3100,0
3110,0.951234221
3120,1.345124841
3130,1.276120901
3140,1.345124841
3150,1.345124841
3160,0.425436169
3170,1.276120901
3180,1.345124841
3190,0.951234221
3200,1.345124841
3210,1.90197885
3220,1.533606529
3230,1.53363657
3240,1.345173597
3250,1.345173597
3260,1.276167154
3270,1.753647566
3280,1.753647566
3290,1.90197885
3300,1.90197885
3310,1.701291204
3320,1.701275706
3330,2.975461006
3340,3.005598545
3350,4.513217449
3360,4.513217449
3370,6.892330647
3380,7.484059334
3390,8.662762642
3400,8.36345005
3410,5.529876232
3420,4.3717103
3430,3.42595005
3440,3.42595005
3450,1.345124841
3460,0.425436169
3470,0
3480,0.425436169
3490,0
3500,1.345124841
3510,0.425436169
3520,3.654842138
3530,5.179053783
3540,4.572440147
3550,4.182691097
3560,5.365746021
3570,5.247727871
3580,5.109451771
3590,4.669533253
3600,4.669533253
3610,4.246661663
3620,3.823356867
3630,3.823356867
3640,3.399603128
3650,3.399603128
3660,3.399603128
3670,4.246692657
3680,5.16178751
3690,5.529907703
3700,5.994763374
3710,6.696238995
3720,6.629520416
3730,6.629520416
3740,6.256617069
3750,4.949141026
3760,2.851608038
3770,2.688768387
3780,3.236637592
3790,2.289865971
3800,0.951234221
3810,0
3820,0.425436169
3830,1.345124841
3840,0.951234221
3850,1.203160405
3860,1.533593774
3870,1.533593774
3880,1.345124841
3890,0.425436169
3900,0.601646543
3910,0.951234221
3920,2.126243353
3930,2.405260563
3940,1.203160405
3950,0.425436169
3960,0
3970,0
3980,1.203160405
3990,1.533593774
4000,1.276120901
4010,0.601646543
4020,0.425436169
4030,0.951234221
4040,1.276120901
4050,0.601646543
4060,0
4070,0
4080,0.850825429
4090,1.753602624
4100,4.592022896
4110,4.839310646
4120,5.994758606
4130,5.704835892
4140,4.00708437
4150,4.246646404
4160,3.91628933
4170,3.605246067
4180,3.91628933
4190,3.605246067
4200,5.704868793
4210,7.53118515
4220,7.864002228
4230,7.280180454
4240,4.246646404
4250,4.513174057
4260,3.654842138
4270,3.605246067
4280,3.42595005
4290,3.236637592
4300,3.630163908
4310,3.654885054
4320,3.799747705
4330,4.24668026
4340,3.799706459
4350,4.029459476
4360,3.42595005
4370,3.236637592
4380,2.851608038
4390,2.688768387
4400,3.005583286
4410,3.503926277
4420,3.236637592
4430,2.586117029
4440,3.425965548
4450,3.5039711
4460,2.126258612
4470,3.005583286
4480,3.42595005
4490,3.846768618
4500,3.823310852
4510,2.586117029
4520,3.09426713
4530,3.005583286
4540,1.345124841
4550,1.345124841
4560,1.753602624
4570,2.550976992
4580,1.753602624
4590,0.951234221
4600,1.276167154
4610,1.753651381
4620,1.90197885
4630,1.345124841
4640,1.345124841
4650,1.203160405
4660,2.289865971
4670,2.168311358
4680,1.276120901
4690,1.276120901
4700,1.203160405
4710,1.753602624
4720,1.701275706
4730,1.203160405
4740,1.276120901
4750,0.951234221
4760,0.425436169
4770,0
4780,1.203160405
4790,1.203160405
4800,2.126243353
4810,1.203160405
4820,1.345124841
4830,1.533593774
4840,3.319105864
4850,3.799706459
4860,4.967246056
4870,4.745773792
4880,4.839301109
4890,5.109436512
4900,3.42595005
4910,3.42595005
4920,3.005583286
4930,2.586117029
4940,1.753602624
4950,2.289865971
4960,2.168311358
4970,2.126243353
4980,2.126258612
4990,2.126289606
5000,2.688768387
5010,2.688768387
5020,2.289865971
5030,1.753602624
5040,2.97543025
5050,3.005583286
5060,1.345124841
5070,2.289865971
5080,2.289865971
5090,0.850825429
5100,2.289865971
5110,3.09426713
5120,3.094281912
5130,3.094281912
5140,2.289914608
5150,1.901958227
5160,4.3717103
5170,4.3717103
5180,3.630129814
5190,3.503926277
5200,2.688768387
5210,1.753602624
5220,1.753602624
5230,0.425436169
5240,1.276120901
5250,0.425436169
5260,0.425436169
5270,1.345124841
5280,0.951234221
5290,0.951234221
5300,0.951234221
5310,1.345124841
5320,0.951234221
5330,0
5340,0.425436169
5350,0.425436169
5360,0.425436169
5370,0.425436169
5380,0.601646543
5390,0.951234221
5400,1.276120901
5410,0.425436169
5420,0.425436169
5430,1.345124841
5440,1.203160405
5450,1.20318222
5460,2.126277208
5470,2.586162567
5480,2.126274109
5490,1.276120901
5500,0.951234221
5510,0.425436169
5520,1.345124841
5530,1.345124841
5540,1.533593774
5550,2.405260563
5560,2.405260563
5570,1.753602624
5580,1.753602624
5590,1.901944399
5600,1.753602624
5610,0.951234221
5620,0
5630,0
5640,0.951234221
5650,1.701275706
5660,2.550976992
5670,2.126243353
5680,1.345124841
5690,1.345124841
5700,1.533593774
5710,1.203160405
5720,0
5730,1.203160405
5740,1.533600092
5750,1.345149159
5760,1.20318222
5770,1.20318222
5780,1.345124841
5790,2.586117029
5800,2.168311358
5810,2.289865971
5820,1.901944399
5830,1.901944399
5840,1.345132113
5850,2.58613348
5860,2.688787937
5870,2.289883137
5880,1.753610134
5890,1.345124841
5900,1.701275706
5910,2.126243353
5920,2.586117029
5930,1.701275706
5940,1.701275706
5950,1.753602624
5960,0
5970,0.601646543
5980,0.951234221
5990,0.951234221
6000,1.753610134
6010,2.289883137
6020,2.851632118
6030,3.236661911
6040,2.72214222
6050,2.289883137
6060,1.701283455
6070,0.425436169
6080,0.951234221
6090,1.345124841
6100,1.533593774
6110,2.405260563
6120,1.203160405
6130,1.203160405
6140,2.126243353
6150,1.533600092
6160,1.701298952
6170,2.551000118
6180,2.586124659
6190,1.753602624
6200,1.276120901
6210,1.753602624
6220,2.586117029
6230,1.701275706
6240,1.701275706
6250,1.701283455
6260,2.551000118
6270,2.126250982
6280,2.688768387
6290,2.168311358
6300,1.753602624
6310,1.701275706
6320,1.701275706
6330,2.289865971
6340,2.168311358
6350,2.586139917
6360,1.753627062
6370,2.688768387
6380,3.503926277
6390,2.688768387
6400,1.753602624
6410,2.586117029
6420,2.168318987
6430,2.289883137
6440,2.289883137
6450,2.289883137
6460,2.168311358
6470,2.97543025
6480,2.126243353
6490,2.168311358
6500,2.168311358
6510,1.901961684
6520,2.289890289
6530,2.47919488
6540,1.901944399
6550,3.42595005
6560,3.42595005
6570,1.533593774
6580,2.289883137
6590,2.289890289
6600,2.289865971
6610,2.47919488
6620,2.722120762
6630,1.804409146
6640,2.289865971
6650,3.42595005
6660,2.126243353
6670,2.289873123
6680,0.951241136
6690,1.276136279
6700,1.901961684
6710,1.901961684
6720,2.126258612
6730,1.276128531
6740,0.951244593
6750,1.345124841
6760,0.425436169
6770,0
6780,0
6790,0.601646543
6800,0.951234221
6810,0.850825429
6820,1.753625155
6830,1.345149159
6840,0.425443888
6850,0
6860,1.345124841
6870,1.533593774
6880,1.345124841
6890,2.126243353
6900,1.753602624
6910,0.425436169
6920,0.425436169
6930,1.701275706
6940,1.701275706
6950,1.701275706
6960,1.276120901
6970,1.276144028
6980,1.276144028
6990,1.753610134
7000,0.951234221
7010,1.701275706
7020,2.289865971
7030,1.753602624
7040,1.276120901
7050,1.345124841
7060,1.753602624
7070,2.586124659
7080,1.753627062
7090,0.850833118
7100,1.345124841
7110,1.533593774
7120,1.345124841
7130,0.425436169
7140,1.203160405
7150,2.126243353
7160,1.533593774
7170,1.345124841
7180,1.345124841
7190,0.425436169
7200,1.753602624
7210,2.126250982
7220,2.126266479
7230,2.40527153
7240,1.804409146
7250,2.289865971
7260,2.126243353
7270,3.319105864
7280,2.851608038
7290,2.72214222
7300,2.72214222
7310,2.688768387
7320,2.47919488
7330,1.753602624
7340,2.688768387
7350,2.126243353
7360,2.126243353
7370,1.203160405
7380,1.753602624
7390,2.289865971
7400,3.425974131
7410,3.503950357
7420,2.688768387
7430,2.405260563
7440,2.405260563
7450,2.405260563
7460,1.804409146
7470,1.345124841
7480,1.901944399
7490,1.533593774
7500,1.533593774
7510,0.425436169
7520,0.951234221
7530,0.425436169
7540,0.601646543
7550,0.850825429
7560,2.289865971
7570,1.753602624
7580,1.203160405
7590,0.951251507
7600,2.405282497
7610,2.405282497
7620,2.126243353
7630,2.289865971
7640,2.851608038
7650,2.688768387
7660,2.688768387
7670,3.236654758
7680,2.289890289
7690,2.126260281
7700,2.405260563
7710,2.405260563
7720,3.605246067
7730,4.246663094
7740,4.246663094
7750,2.851632118
7760,3.005583286
7770,3.399556875
7780,3.399556875
7790,2.97543025
7800,1.753602624
7810,1.701275706
7820,2.168318987
7830,2.289890289
7840,1.901961684
7850,2.289865971
7860,2.688768387
7870,1.753602624
7880,3.005583286
7890,3.654842138
7900,3.065014601
7910,2.479216099
7920,2.168311358
7930,3.236637592
7940,2.688768387
7950,3.005590916
7960,3.005607128
7970,1.753619552
7980,2.289865971
7990,1.901944399
8000,2.289865971
8010,3.42595005
8020,3.236649752
8030,3.236646175
8040,3.236646175
8050,2.68877697
8060,2.851618528
8070,2.586117029
8080,2.975434065
8090,2.975441694
8100,0.425440013
8110,0.951234221
8120,1.753602624
8130,1.753602624
8140,1.533593774
8150,1.203160405
8160,0.951242864
8170,1.345137
8180,1.345124841
8190,0.951234221
8200,0
8210,0.951234221
8220,1.345124841
8230,1.533604383
8240,2.40527153
8250,1.345124841
8260,0.425436169
8270,1.203160405
8280,2.126243353
8290,1.345124841
8300,0.425436169
8310,1.203171372
8320,2.40527153
8330,2.405260563
8340,2.405260563
8350,3.605257034
8360,3.605257034
8370,2.40527153
8380,3.654852867
8390,4.182694435
8400,3.00559473
8410,3.00559473
8420,2.688772202
8430,2.126243353
8440,2.40527153
8450,2.126254082
8460,2.289865971
8470,2.688772202
8480,1.70128727
8490,1.276132464
8500,0.601649225
8510,1.276120901
8520,1.753602624
8530,1.533593774
8540,0.425436169
8550,0
8560,0
8570,0.951234221
8580,1.203160405
8590,0.425436169
8600,1.276120901
8610,1.753606439
8620,2.405260563
8630,2.405260563
8640,2.405260563
8650,2.47919488
8660,0.425436169
8670,0.425436169
8680,0.601646543
8690,0.850825429
8700,0.850825429
8710,0.951234221
8720,1.203160405
8730,0.951234221
8740,0
8750,0.951242864
8760,1.345137
8770,1.345124841
8780,1.345124841
8790,1.203160405
8800,1.533596873
8810,0
8820,0.425436169
8830,1.345128417
8840,2.126251698
8850,0.425436169
8860,0.951234221
8870,1.203160405
8880,1.533596873
8890,0
8900,0.425436169
8910,0.951234221
8920,1.203160405
8930,0
8940,0
8950,0
8960,0
8970,0.425436169
8980,0.951234221
8990,1.203160405
9000,0.951234221
9010,1.533596873
9020,2.289874554
9030,2.289874554
9040,1.901949525
9050,4.007096291
9060,3.79971838
9070,2.688780546
9080,0.850829244
9090,1.533599019
9100,0.951234221
9110,3.094278336
9120,3.065004826
9130,2.126254082
9140,2.851620197
9150,3.236649752
9160,2.722131491
9170,2.289874554
9180,2.550980806
9190,3.916300058
9200,3.065003872
9210,2.4792068
9220,2.586128473
9230,1.753606439
9240,1.753602624
9250,3.236646175
9260,2.688780546
9270,2.586124659
9280,3.630141974
9290,1.901947856
9300,1.533593774
9310,1.345124841
9320,0.951234221
9330,0.425436169
9340,2.126250982
9350,3.236647606
9360,1.5335958
9370,2.405268908
9380,3.005594254
9390,3.094275713
9400,3.094275713
9410,2.289865971
9420,0.425436169
9430,0
9440,0
9450,0.425440013
9460,1.276132464
9470,1.203171372
9480,3.236642599
9490,4.371718884
9500,5.10945034
9510,6.024414063
9520,7.206822395
9530,8.074240685
9540,8.447162628
9550,8.693124771
9560,9.249541283
9570,10.40888405
9580,14.74353695
9590,16.7460022
9600,11.5762825
9610,10.93501472
9620,8.9515028
9630,7.280195236
9640,6.892298698
9650,6.299187183
9660,5.767119408
9670,5.109447479
9680,5.10945034
9690,5.689178944
9700,5.689178944
9710,5.689177513
9720,5.126946926
9730,4.029470444
9740,2.975434065
9750,2.722123146
9760,3.79971838
9770,3.425958157
9780,2.168311358
9790,0.850825429
9800,0.951234221
9810,2.289874554
9820,1.345133305
9830,1.203171372
9840,1.345137
9850,1.203171372
9860,0
9870,0.951242864
9880,1.276132464
9890,1.345137
9900,1.203171372
9910,1.533604383
9920,2.168322802
9930,2.168315172
9940,2.550976992
9950,1.701275706
9960,0.850825429
9970,0.601646543
9980,0.951234221
9990,0
10000,0.425436169
10010,0.425440013
10020,1.753614903
10030,1.701283455
10040,1.345124841
10050,1.203160405
10060,1.345124841
10070,1.701283455
10080,1.901952982
10090,1.203163147
10100,2.479203463
10110,3.319116831
10120,4.007095337
10130,4.371722221
10140,1.533596873
10150,0.951234221
10160,0
10170,1.203163147
10180,2.479203463
10190,3.425960541
10200,3.236647606
10210,3.065003872
10220,2.586125135
10230,3.005595207
10240,0.425436169
10250,0
10260,0
10270,0
10280,0
10290,0
10300,0
10310,1.203160405
10320,1.203160405
10330,1.345128417
10340,1.753614903
10350,2.168322802
10360,2.586120844
10370,3.630141974
10380,2.68877697
10390,2.851608038
10400,2.688780546
10410,1.203168631
10420,1.753602624
10430,2.688770294
10440,2.16831708
10450,1.701283455
10460,1.34513092
10470,1.203165889
10480,1.34513092
10490,0.951238573
10500,1.34513092
10510,1.753608823
10520,1.90194869
10530,1.701281548
10540,1.701277614
10550,1.276120901
10560,0.425436169
10570,0
10580,0.425438076
10590,1.34513092
10600,0.951238573
10610,1.203160405
10620,2.126247406
10630,1.34513092
10640,0.425438076
10650,0.425438076
10660,1.276120901
10670,1.276120901
10680,1.345129013
10690,1.701281548
10700,2.126248598
10710,0.951234221
10720,0.850827336
10730,0.601649225
10740,0.850829244
10750,2.47920084
10760,1.901947856
10770,1.34513092
10780,3.3191154
10790,2.405266047
10800,1.203165889
10810,1.533599019
10820,1.345124841
10830,1.345126629
10840,2.289872169
10850,3.425959587
10860,3.605255604
10870,4.839278698
10880,8.447161675
10890,8.9515028
10900,7.280198097
10910,8.331857681
10920,5.315507889
10930,2.722129583
10940,2.479203224
10950,0.951236427
10960,0
10970,0
10980,0
10990,0.951236427
11000,0.601647913
11010,0.85082829
11020,2.126250982
11030,1.345128775
11040,1.753607631
11050,1.701282501
11060,1.701280594
11070,1.345127821
11080,1.203163147
11090,1.203163147
11100,1.203163147
11110,0.951236427
11120,2.405268908
11130,2.126250267
11140,1.34513092
11150,0.951238573
11160,1.34513092
11170,1.34513092
11180,1.34513092
11190,0.425438076
11200,0
11210,0
11220,0
11230,0
11240,0
11250,0
11260,0
11270,0.425438076
11280,1.276126623
11290,0.425438076
11300,0
11310,0
11320,0.425437123
11330,1.276123762
11340,1.276123762
11350,0.425437123
11360,0
11370,0
11380,0
11390,0
11400,0
11410,0.951236427
11420,1.345127821
11430,0.425437123
11440,0.425437123
11450,1.345127821
11460,1.203163147
11470,1.276123762
11480,1.276123762
11490,0.425437123
11500,0
11510,0
11520,0.951236427
11530,1.345127821
11540,0.850827336
11550,1.276123762
11560,1.70127964
11570,1.345127821
11580,0.951236427
11590,0.425437123
11600,0
11610,0
11620,0
11630,0
11640,0
11650,0
11660,1.203163147
11670,1.203163147
11680,1.203163147
11690,1.203163147
11700,1.203163147
11710,1.203163147
11720,1.345127821
11730,0.425437123
11740,0.425437123
11750,1.276123762
11760,1.276123762
11770,0.425437123
11780,0
11790,0
11800,0
11810,0.951236427
11820,1.345127821
11830,0.425437123
11840,0.425438076
11850,1.34513092
11860,0.951238573
11870,0.951238573
11880,0
11890,1.345127821
11900,0.951236427
11910,0
11920,0.951236427
11930,1.753606677
11940,1.753606677
11950,1.90194869
11960,1.533597231
11970,1.533597231
11980,2.479200602
11990,0.951236427
12000,1.203163147
12010,2.405267477
12020,1.203164458
12030,1.203163147
12040,1.203163147
12050,0
12060,0
12070,1.203163147
12080,1.203163147
12090,1.203163147
12100,1.203163147
12110,0
12120,0
12130,0.951236427
12140,1.345127821
12150,0.425437123
12160,0.9512375
12170,1.276125193
12180,1.345129371
12190,1.203164458
12200,1.203164458
12210,1.203164458
12220,1.203164458
12230,0.9512375
12240,0.425437599
12250,0
12260,0
12270,1.203163147
12280,1.203163147
12290,0
12300,0
12310,0
12320,0
12330,0
12340,0.425437123
12350,2.289871216
12360,2.586123228
12370,1.901949286
12380,1.753607392
12390,1.701280355
12400,1.276123762
12410,1.345127821
12420,1.753606677
12430,0.951236427
12440,0
12450,0
12460,0
12470,0
